"project","plot","subplot","survey","tree.date","family","species","pft","wsg","wsg.sd","tree","stem","x","y","z","status","allom.key","a.stem","h.t","h.t.mod","d.stem","d.stem.valid","d.ht","c.w","m.agb"
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7443","1",479311.252023061,5227777.41709279,NA,1,19,0.0280552077947202,NA,19.0022742530895,0.189,1,1.3,NA,84.2366645854685
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7444","1",479310.760046394,5227776.91913801,NA,0,19,0.00865901475145687,NA,9.63175766154194,0.105,1,1.3,NA,19.3329803496971
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7445","1",479304.757861494,5227775.53936396,NA,0,19,0.126292810072473,NA,38.4612925184393,0.401,1,1.3,NA,554.005802832077
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7446","1",479305.400651111,5227774.4825662,NA,1,19,0.0283528736986479,NA,19.1113707040589,0.19,1,1.3,NA,85.3571333895352
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7447","1",479307.739612043,5227773.5774354,NA,1,19,0.01188228881404,NA,11.6444202436752,0.123,1,1.3,NA,28.7318244130465
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7448","1",479313.013352663,5227778.48840882,NA,1,19,0.0151746779150021,NA,13.4430489582429,0.139,1,1.3,NA,39.0256247679595
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7450","1",479317.062149161,5227775.47224454,NA,0,19,0.0735415424278835,NA,30.7609478572737,0.306,1,1.3,NA,281.505741209362
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7451","1",479313.452127262,5227776.08685164,NA,1,19,0.01539380400259,NA,13.5554673780282,0.14,1,1.3,NA,39.7324555301303
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7452","1",479312.600198534,5227776.64740266,NA,1,19,0.0084948665353068,NA,9.52065013976444,0.104,1,1.3,NA,18.8752314741857
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7453","1",479309.014089073,5227773.30228399,NA,1,19,0.0126676869774374,NA,12.0937775022371,0.127,1,1.3,NA,31.1290109278794
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7454","1",479309.728869101,5227772.03378507,NA,1,19,0.0162860163162095,NA,14.0049618706373,0.144,1,1.3,NA,42.6363957685595
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7455","1",479308.036967864,5227771.17502421,NA,1,19,0.0160606070433144,NA,13.8926200641036,0.143,1,1.3,NA,41.8988634521725
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7456","1",479311.715564113,5227770.91439107,NA,1,19,0.0188691908756237,NA,15.2385453040474,0.155,1,1.3,NA,51.2662294410346
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7458","1",479310.175329841,5227768.3594589,NA,1,19,0.0229658276959048,24,17.0213981222407,0.171,1,1.3,NA,65.5636412215597
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7459","1",479308.469764353,5227769.76339848,NA,1,19,0.00833228911548353,NA,9.4096422656566,0.103,1,1.3,NA,18.4240547405772
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7460","1",479307.215783699,5227766.64449924,NA,1,19,0.0132732289614169,17.5,12.4310167363931,0.13,1,1.3,NA,33.0031169845645
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7461","1",479305.650782973,5227768.19071162,NA,1,19,0.0221670777637296,NA,16.6884576842744,0.168,1,1.3,NA,62.7213281430852
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7463","1",479303.980232127,5227763.79648132,NA,1,19,0.0156145008865047,NA,13.6678703636025,0.141,1,1.3,NA,40.4469206241483
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7465","1",479302.874755474,5227771.21456203,NA,1,19,0.259672267773281,NA,48.2726469436179,0.575,1,1.3,NA,1365.9949310139
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7466","1",479303.209941082,5227774.25720079,NA,1,19,0.0172033613710577,NA,14.4540529159249,0.148,1,1.3,NA,45.6642301176331
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7467","1",479299.185057022,5227773.31363929,NA,1,19,0.0426384808926841,18.5,23.6822769142769,0.233,1,1.3,NA,142.265642935341
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7468","1",479296.702969281,5227774.50075362,NA,1,19,0.0113097335529233,18.1,11.3077298958322,0.12,1,1.3,NA,27.0091330810903
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7469","1",479296.365221626,5227771.8823712,NA,1,19,0.0246057390610787,NA,17.6850600554088,0.177,1,1.3,NA,71.4769255123607
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7470","1",479292.723601148,5227777.72947307,NA,1,19,0.00950331777710912,15.5,10.1886515743531,0.11,1,1.3,NA,21.7214137578333
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7471","1",479295.113202102,5227780.14811056,NA,1,19,0.0122718463030851,15.6,11.8690467613415,0.125,1,1.3,NA,29.9159967397082
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7472","1",479297.036446857,5227777.82622994,NA,1,19,0.0122718463030851,17.2,11.8690467613415,0.125,1,1.3,NA,29.9159967397082
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7474","1",479297.437391669,5227769.97962282,NA,1,20,5.65789527177969,66,59.1156385901905,2.684,1,1.3,NA,62708.9409395018
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7476","1",479313.652473119,5227766.32981,NA,1,19,0.01674154725098,18.9,14.2295673475622,0.146,1,1.3,NA,44.1347179530231
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7477","1",479316.249505152,5227769.52753179,NA,1,19,0.284631436007889,NA,49.3672384724239,0.602,1,1.3,NA,1532.32334723854
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7478","1",479317.020049296,5227770.73428848,NA,1,19,0.368528453220168,NA,52.1545010350968,0.685,1,1.3,NA,2117.43455252804
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7479","1",479315.596467348,5227772.28135488,NA,1,19,0.0143138815279185,NA,12.9932720195952,0.135,1,1.3,NA,36.2740929035463
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7480","1",479317.985214286,5227774.84141114,NA,0,19,0.00985203456165759,NA,10.4119705773894,0.112,1,1.3,NA,22.723892883201
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7481","1",479317.923472061,5227773.35608697,NA,1,19,0.00950331777710912,NA,10.1886515743531,0.11,1,1.3,NA,21.7214137578333
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7483","1",479321.542034117,5227771.3272921,NA,1,19,0.0169716689128555,NA,14.3418262856058,0.147,1,1.3,NA,44.895561840381
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7484","1",479322.128205603,5227767.9366575,NA,1,19,0.0543252055640381,20,26.7055676741325,0.263,1,1.3,NA,192.668181747757
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7485","1",479321.285671046,5227766.94160196,NA,1,19,0.0126676869774374,NA,12.0937775022371,0.127,1,1.3,NA,31.1290109278794
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7486","1",479318.32697892,5227765.08522352,NA,1,19,0.0111220233918713,NA,11.1955789649047,0.119,1,1.3,NA,26.4490693887237
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7487","1",479317.762157825,5227764.94038868,NA,1,19,0.0138929081123375,NA,12.7683582487161,0.133,1,1.3,NA,34.9434123897027
