"species","new.family","new.genus","new.species"
"Caldcluvia paniculosa","Cunoniaceae","Caldcluvia","paniculosa"
"Eupomatia laurina","Eupomatiaceae","Eupomatia","laurina"
"Cryptocarya microneura","Lauraceae","Cryptocarya","microneura"
"Neolitsea dealbata","Lauraceae","Neolitsea","dealbata"
"Syzygium oleosum","Myrtaceae","Syzygium","oleosum"
"UNNCU34",NA,"UNNCU34","NA"
"Clerodendrum floribundum","Lamiaceae","Clerodendrum","floribundum"
"UNNCU40",NA,"UNNCU40","NA"
"UNNCU38",NA,"UNNCU38","NA"
"Syncarpia glomulifera subsp glomulifera","Myrtaceae","Syncarpia","glomulifera"
"Callitris sp.","Cupressaceae","Callitris","sp."
"Persoonia conjuncta","Proteaceae","Persoonia","conjuncta"
"Acacia maidenii","Fabaceae","Acacia","maidenii"
"Eucalyptus andrewsii","Myrtaceae","Eucalyptus","andrewsii"
"Acacia mucronata","Fabaceae","Acacia","mucronata"
"Eucalyptus ovata","Myrtaceae","Eucalyptus","ovata"
"Nematolepis squamea subsp squamea","Rutaceae","Nematolepis","squamea"
"Eucalyptus grandis","Myrtaceae","Eucalyptus","grandis"
"Litsea australis","Lauraceae","Litsea","australis"
"Ceratopetalum apetalum","Cunoniaceae","Ceratopetalum","apetalum"
"UNNCG4",NA,"UNNCG4",NA
"UNNCG6",NA,"UNNCG6",NA
"Cryptocarya bidwillii","Lauraceae","Cryptocarya","bidwillii"
"Guioa semiglauca","Sapindaceae","Guioa","semiglauca"
"UNNCG7",NA,"UNNCG7",NA
"UNNCUSM",NA,"UNNCUSM",NA
"UNNCG9",NA,"UNNCG9",NA
"UNNCG2",NA,"UNNCG2",NA
"UNNCG10",NA,"UNNCG10",NA
"Niemeyeria whitei","Sapotaceae","Niemeyera","whitei"
"UNNCPALM2",NA,"UNNCPALM2",NA
"Alphitonia excelsa","Rhamnaceae","Alphitonia","excelsa"
"UNNCG15",NA,"UNNCG15",NA
"UNNCG16",NA,"UNNCG16",NA
"Litsea reticulata","Lauraceae","Litsea","reticulata"
"UNNCG18",NA,"UNNCG18",NA
"Geissois benthamii","Cunoniaceae","Geissois","benthamii"
"UNNCG20",NA,"UNNCG20",NA
"UNNCU19",NA,"UNNCU19",NA
"Callicoma serratifolia","Cunoniaceae","Callicoma","serratifolia"
"UNNCG21",NA,"UNNCG21",NA
"UNNCG22",NA,"UNNCG22",NA
"Orites excelsus","Proteaceae","Orites","excelsus"
"UNNCMYRT2",NA,"UNNCMYRT2",NA
