"project","date","survey","region","l.project","l.instr","l.date","l.region","l.path","l.epsg"
"brazil_sfx2012","12-07-30","SFX_A03","SA","embrapa_brazil_keller_2012_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2012/brazil_32722","32722"
"brazil_sfx2012","12-08-06","SFX_A02","SA","embrapa_brazil_keller_2012_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2012/brazil_32722","32722"
"brazil_tac2014","2014-08-12","TAC_A01","SA","embrapa_brazil_keller_2013_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32722","32722"
"brazil_tal2014","2014-07-14","TAL_A01","SA","embrapa_brazil_keller_2013_32719",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2013/brazil_32719","32719"
"brazil_tan2012","2012-11-21","TAN_A01","SA","embrapa_brazil_keller_2012_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2012/brazil_32722","32722"
"brazil_tan2012","2012-11-20","2012","SA","embrapa_brazil_keller_2012_32722",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/embrapa_brazil_keller/ALS/LAS_unzip/2012/brazil_32722","32722"
"china_cuilai","2006-04-17","2006","As","cuilai_china","Riegl LMS-Q280i","2005","asia","/gpfs/data1/vclgp/data/gedi/incoming/asia/cuilai_china/ALS","32650"
"china_zhangye","2006-04-17","2006","As","zhangye_china","Riegl LMS-Q560","2008","asia","/gpfs/data1/vclgp/data/gedi/incoming/asia/zhangye_china/ALS","32647"
"colombia_choco","2014-02-28","2014","SA","jpl_wb_colombia",NA,NA,"southamerica","/gpfs/data1/vclgp/data/gedi/incoming/southamerica/jpl_wb_colombia","32618"
"costarica_chazdon","1997-01-01","1997","SA","nasa_laselva_1997",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/flimap","32616"
"costarica_chazdon","1998-01-01","1998","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","1999-01-01","1999","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2000-01-01","2000","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2001-01-01","2001","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2002-01-01","2002","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2003-01-01","2003","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2004-01-01","2004","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2005-01-01","2005","SA",NA,NA,NA,NA,NA,NA
"costarica_chazdon","2006-01-01","2006","SA","nasa_laselva",NA,NA,"centralamerica","/gpfs/data1/vclgp/data/gedi/incoming/centralamerica/nasa_laselva/ALS","32616"
"costarica_chazdon","2007-01-01","2007","SA",NA,NA,NA,NA,NA,NA
